Country Rank,Country/Territory,Country Code,Region,CPI 2015 Score,Number of Surveys Used,Std Error,Min,Max,90% Lower CI,90%Upper CI,World Bank CPIA,World  Economic Forum EOS,Bertelsmann  Foundation TI,Arican Development Bank,IMD World Competitiveness Year Book,Bertelsmann Foundation SGI,World Justice Project ROL,PRS Internationl Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT
130,Iran,IRN,MENA,27,6,3.2799999713897705,21,41,22,32,,41.0,23.0,,,,31.0,21.0,21.0,22.0,,
130,Nepal,NPL,AP,27,5,2.7300000190734863,22,35,23,31,35.0,33.0,23.0,,,,24.0,,,22.0,,
130,Nicaragua,NIC,AME,27,7,2.5,19,35,23,31,35.0,33.0,28.0,,,,19.0,21.0,21.0,32.0,,
130,Paraguay,PRY,AME,27,5,2.8499999046325684,21,36,22,32,,25.0,36.0,,,,,31.0,21.0,22.0,,
130,Ukraine,UKR,ECA,27,8,1.9299999475479126,21,36,24,30,,28.0,36.0,,26.0,,22.0,21.0,21.0,32.0,,29.0
136,Comoros,COM,SSA,26,3,8.760000228881836,12,42,12,40,23.0,,,12.0,,,,,,42.0,,
136,Nigeria,NGA,SSA,26,8,2.240000009536743,19,35,22,30,35.0,25.0,28.0,35.0,,,19.0,21.0,21.0,22.0,,
136,Tajikistan,TJK,ECA,26,5,7.360000133514404,11,53,14,38,23.0,53.0,15.0,,,,,,,11.0,,26.0
139,Bangladesh,BGD,AP,25,7,4.300000190734863,16,50,18,32,23.0,19.0,23.0,,,,16.0,50.0,21.0,22.0,,
139,Guinea,GIN,SSA,25,6,3.1600000858306885,15,36,20,30,23.0,15.0,36.0,32.0,,,,21.0,,22.0,,
139,Kenya,KEN,SSA,25,8,3.0199999809265137,11,35,20,30,35.0,30.0,28.0,35.0,,,18.0,21.0,21.0,11.0,,
139,Laos,LAO,AP,25,4,5.309999942779541,15,40,16,34,23.0,40.0,15.0,,,,,,,22.0,,
139,Papua New Guinea,PNG,AP,25,5,4.21999979019165,11,35,18,32,35.0,,28.0,,,,,31.0,21.0,11.0,,
139,Uganda,UGA,SSA,25,8,3.190000057220459,12,38,20,30,12.0,28.0,32.0,32.0,,,15.0,21.0,38.0,22.0,,
145,Central African Republic,CAF,SSA,24,4,1.440000057220459,22,28,22,26,23.0,,28.0,22.0,,,,,,22.0,,
146,Congo Republic,COG,SSA,23,6,4.110000133514404,12,42,16,30,12.0,,19.0,42.0,,,,21.0,21.0,22.0,,
147,Chad,TCD,SSA,22,5,2.3499999046325684,16,30,18,26,23.0,16.0,19.0,30.0,,,,,,22.0,,
147,Democratic Republic of the Congo,COD,SSA,22,6,3.3499999046325684,12,37,17,27,12.0,,19.0,37.0,,,,21.0,21.0,22.0,,
147,Myanmar,MMR,AP,22,7,2.819999933242798,11,35,17,27,35.0,27.0,19.0,,,,19.0,21.0,21.0,11.0,,
150,Burundi,BDI,SSA,21,5,2.940000057220459,11,28,16,26,23.0,28.0,19.0,25.0,,,,,,11.0,,
150,Cambodia,KHM,AP,21,7,3.869999885559082,10,35,15,27,12.0,35.0,15.0,,,,10.0,,21.0,22.0,35.0,
150,Zimbabwe,ZWE,SSA,21,8,4.539999961853027,0,38,14,28,0.0,38.0,15.0,17.0,,,23.0,12.0,38.0,22.0,,
153,Uzbekistan,UZB,ECA,19,6,2.7100000381469727,11,29,15,23,12.0,,19.0,,,,29.0,,21.0,11.0,,21.0
154,Eritrea,ERI,SSA,18,4,8.149999618530273,7,42,5,31,12.0,,10.0,7.0,,,,,,42.0,,
154,Syria,SYR,MENA,18,4,5.659999847412109,6,32,9,27,,,6.0,,,,,12.0,21.0,32.0,,
154,Turkmenistan,TKM,ECA,18,4,2.380000114440918,11,21,14,22,,,19.0,,,,,,21.0,11.0,,21.0
154,Yemen,YEM,MENA,18,6,2.6600000858306885,12,28,14,22,12.0,14.0,28.0,,,,,12.0,21.0,22.0,,
158,Guinea-Bissau,GNB,SSA,17,4,2.630000114440918,12,22,13,21,12.0,,,20.0,,,,12.0,,22.0,,
158,Haiti,HTI,AME,17,5,2.740000009536743,11,24,13,21,23.0,24.0,15.0,,,,,12.0,,11.0,,
158,Venezuela,VEN,AME,17,7,2.640000104904175,5,25,13,21,,21.0,15.0,,25.0,,5.0,12.0,21.0,22.0,,
161,Iraq,IRQ,MENA,16,4,2.5,11,21,12,20,,,19.0,,,,,12.0,21.0,11.0,,
161,Libya,LBY,MENA,16,5,3.180000066757202,10,26,11,21,,26.0,10.0,,,,,12.0,21.0,11.0,,
163,Angola,AGO,SSA,15,5,1.7999999523162842,11,21,12,18,,17.0,15.0,,,,,12.0,21.0,11.0,,
163,South Sudan,SSD,SSA,15,3,1.4500000476837158,12,17,13,17,12.0,,15.0,17.0,,,,,,,,
165,Sudan,SDN,MENA,12,6,3.640000104904175,0,21,6,18,0.0,,15.0,20.0,,,,2.0,21.0,11.0,,
166,Afghanistan,AFG,AP,11,4,3.490000009536743,2,19,5,17,12.0,,19.0,,,,2.0,,,11.0,,
167,Korea (North),PRK,AP,8,3,3.380000114440918,1,12,2,14,,,10.0,,,,,12.0,,1.0,,
167,Somalia,SOM,SSA,8,4,2.319999933242798,2,12,4,12,,,6.0,2.0,,,,12.0,,11.0,,
